input_url,final_url,severity,threat_score,protection_score,status,tls_days_remaining,findings,report_path,error
https://approved-sim-0050.example,https://approved-sim-0050.example,High,72,28,200,346,Server header exposed: nginx | Missing X-Content-Type-Options header. | Cookie flags need review. | Server header exposed: iis | Technology banner exposed. | Missing HSTS header.,/synthetic/reports/approved-sim-0050.example.md,
https://approved-sim-0051.example,https://approved-sim-0051.example,Low,8,92,200,79,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0051.example.md,
https://approved-sim-0052.example,https://approved-sim-0052.example,Low,17,83,200,206,Server header exposed: apache,/synthetic/reports/approved-sim-0052.example.md,
https://approved-sim-0053.example,https://approved-sim-0053.example,Medium,50,50,200,261,Server header exposed: apache | Redirect observed. | Missing Referrer-Policy header. | Server header exposed: nginx | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0053.example.md,
https://approved-sim-0054.example,https://approved-sim-0054.example,High,72,28,200,128,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Wildcard CORS policy observed. | Missing Content-Security-Policy header. | Server header exposed: nginx,/synthetic/reports/approved-sim-0054.example.md,
https://approved-sim-0055.example,https://approved-sim-0055.example,Critical,75,25,301,43,Redirect observed. | Missing HSTS header. | Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing X-Content-Type-Options header. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0055.example.md,
https://approved-sim-0056.example,https://approved-sim-0056.example,Low,27,73,302,106,Server header exposed: nginx | Technology banner exposed.,/synthetic/reports/approved-sim-0056.example.md,
https://approved-sim-0057.example,https://approved-sim-0057.example,Critical,85,15,403,106,Server header exposed: nginx | Missing Referrer-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Technology banner exposed. | Cookie flags need review. | Missing HSTS header.,/synthetic/reports/approved-sim-0057.example.md,
https://approved-sim-0058.example,https://approved-sim-0058.example,Medium,31,69,200,91,Neither X-Frame-Options nor CSP frame-ancestors is present. | Cookie flags need review.,/synthetic/reports/approved-sim-0058.example.md,
https://approved-sim-0059.example,https://approved-sim-0059.example,High,56,44,200,297,Redirect observed. | Missing HSTS header. | Missing Referrer-Policy header. | Server header exposed: iis | Cookie flags need review.,/synthetic/reports/approved-sim-0059.example.md,
https://approved-sim-0060.example,https://approved-sim-0060.example,Low,8,92,301,92,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0060.example.md,
https://approved-sim-0061.example,https://approved-sim-0061.example,High,72,28,302,179,Missing Referrer-Policy header. | Missing Content-Security-Policy header. | Redirect observed. | Cookie flags need review. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header.,/synthetic/reports/approved-sim-0061.example.md,
https://approved-sim-0062.example,https://approved-sim-0062.example,Medium,49,51,200,208,Cookie flags need review. | Redirect observed. | Technology banner exposed. | Missing HSTS header.,/synthetic/reports/approved-sim-0062.example.md,
https://approved-sim-0063.example,https://approved-sim-0063.example,Low,12,88,302,47,Redirect observed.,/synthetic/reports/approved-sim-0063.example.md,
https://approved-sim-0064.example,https://approved-sim-0064.example,Medium,36,64,404,73,Missing HSTS header.,/synthetic/reports/approved-sim-0064.example.md,
https://approved-sim-0065.example,https://approved-sim-0065.example,Medium,48,52,200,127,Missing HSTS header. | Redirect observed. | Wildcard CORS policy observed. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0065.example.md,
https://approved-sim-0066.example,https://approved-sim-0066.example,Medium,48,52,302,132,Missing X-Content-Type-Options header. | Missing Referrer-Policy header. | Missing Content-Security-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0066.example.md,
https://approved-sim-0067.example,https://approved-sim-0067.example,Low,24,76,200,159,Missing HSTS header.,/synthetic/reports/approved-sim-0067.example.md,
https://approved-sim-0068.example,https://approved-sim-0068.example,Medium,42,58,302,175,Server header exposed: nginx | Missing Referrer-Policy header. | Redirect observed. | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0068.example.md,
https://approved-sim-0069.example,https://approved-sim-0069.example,High,66,34,200,332,Server header exposed: iis | Missing Referrer-Policy header. | Technology banner exposed. | Missing X-Content-Type-Options header. | Server header exposed: apache | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0069.example.md,
https://approved-sim-0070.example,https://approved-sim-0070.example,Medium,39,61,404,146,Technology banner exposed. | Server header exposed: nginx,/synthetic/reports/approved-sim-0070.example.md,
https://approved-sim-0071.example,https://approved-sim-0071.example,High,63,37,200,254,Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Technology banner exposed. | Server header exposed: nginx | Cookie flags need review.,/synthetic/reports/approved-sim-0071.example.md,
https://approved-sim-0072.example,https://approved-sim-0072.example,Medium,52,48,200,344,Missing X-Content-Type-Options header. | Missing HSTS header. | Missing Referrer-Policy header. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0072.example.md,
https://approved-sim-0073.example,https://approved-sim-0073.example,Medium,30,70,200,13,Technology banner exposed.,/synthetic/reports/approved-sim-0073.example.md,
https://approved-sim-0074.example,https://approved-sim-0074.example,Low,8,92,200,120,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0074.example.md,
https://approved-sim-0075.example,https://approved-sim-0075.example,Low,8,92,200,185,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0075.example.md,
https://approved-sim-0076.example,https://approved-sim-0076.example,Medium,31,69,403,332,Cookie flags need review.,/synthetic/reports/approved-sim-0076.example.md,
https://approved-sim-0077.example,https://approved-sim-0077.example,Medium,46,54,500,78,Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0077.example.md,
https://approved-sim-0078.example,https://approved-sim-0078.example,Medium,44,56,200,174,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0078.example.md,
https://approved-sim-0079.example,https://approved-sim-0079.example,Medium,40,60,200,183,Server header exposed: iis | Technology banner exposed. | Neither X-Frame-Options nor CSP frame-ancestors is present.,/synthetic/reports/approved-sim-0079.example.md,
https://approved-sim-0080.example,https://approved-sim-0080.example,Medium,37,63,200,187,Server header exposed: nginx | Cookie flags need review. | Server header exposed: apache,/synthetic/reports/approved-sim-0080.example.md,
https://approved-sim-0081.example,https://approved-sim-0081.example,Critical,78,22,200,39,Cookie flags need review. | Missing HSTS header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed. | Wildcard CORS policy observed. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0081.example.md,
https://approved-sim-0082.example,https://approved-sim-0082.example,High,68,32,302,260,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Server header exposed: nginx | Technology banner exposed. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0082.example.md,
https://approved-sim-0083.example,https://approved-sim-0083.example,Critical,92,8,500,117,Server header exposed: iis | Missing Referrer-Policy header. | Missing HSTS header. | Redirect observed. | Server header exposed: nginx | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0083.example.md,
https://approved-sim-0084.example,https://approved-sim-0084.example,Medium,43,57,200,253,Server header exposed: nginx | Missing X-Content-Type-Options header. | Cookie flags need review. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0084.example.md,
https://approved-sim-0085.example,https://approved-sim-0085.example,Low,8,92,200,266,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0085.example.md,
https://approved-sim-0086.example,https://approved-sim-0086.example,Low,8,92,302,157,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0086.example.md,
https://approved-sim-0087.example,https://approved-sim-0087.example,Critical,84,16,500,21,Technology banner exposed. | Missing Referrer-Policy header. | Server header exposed: iis | Redirect observed. | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0087.example.md,
https://approved-sim-0088.example,https://approved-sim-0088.example,High,72,28,302,21,Missing X-Content-Type-Options header. | Server header exposed: nginx | Missing Referrer-Policy header. | Wildcard CORS policy observed. | Missing HSTS header. | Redirect observed.,/synthetic/reports/approved-sim-0088.example.md,
https://approved-sim-0089.example,https://approved-sim-0089.example,Medium,49,51,302,327,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0089.example.md,
https://approved-sim-0090.example,https://approved-sim-0090.example,Low,8,92,200,252,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0090.example.md,
https://approved-sim-0091.example,https://approved-sim-0091.example,Low,26,74,200,276,Server header exposed: nginx | Server header exposed: apache,/synthetic/reports/approved-sim-0091.example.md,
https://approved-sim-0092.example,https://approved-sim-0092.example,Critical,75,25,404,58,Missing Referrer-Policy header. | Missing X-Content-Type-Options header. | Redirect observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: iis | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0092.example.md,
https://approved-sim-0093.example,https://approved-sim-0093.example,Critical,79,21,200,306,Cookie flags need review. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Missing Content-Security-Policy header. | Server header exposed: apache | Server header exposed: nginx,/synthetic/reports/approved-sim-0093.example.md,
https://approved-sim-0094.example,https://approved-sim-0094.example,Low,17,83,302,340,Server header exposed: nginx,/synthetic/reports/approved-sim-0094.example.md,
https://approved-sim-0095.example,https://approved-sim-0095.example,High,60,40,302,287,Server header exposed: nginx | Missing Referrer-Policy header. | Cookie flags need review. | Redirect observed. | Missing X-Content-Type-Options header. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0095.example.md,
https://approved-sim-0096.example,https://approved-sim-0096.example,Critical,85,15,204,12,Cookie flags need review. | Missing HSTS header. | Missing Referrer-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Technology banner exposed. | Server header exposed: apache,/synthetic/reports/approved-sim-0096.example.md,
https://approved-sim-0097.example,https://approved-sim-0097.example,High,74,26,204,276,Missing HSTS header. | Wildcard CORS policy observed. | Missing Referrer-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: nginx | Server header exposed: apache,/synthetic/reports/approved-sim-0097.example.md,
https://approved-sim-0098.example,https://approved-sim-0098.example,Low,8,92,200,188,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0098.example.md,
https://approved-sim-0099.example,https://approved-sim-0099.example,Low,8,92,204,129,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0099.example.md,
https://approved-sim-0100.example,https://approved-sim-0100.example,Critical,82,18,500,54,Server header exposed: apache | Server header exposed: nginx | Technology banner exposed. | Missing HSTS header.,/synthetic/reports/approved-sim-0100.example.md,
https://approved-sim-0101.example,https://approved-sim-0101.example,High,68,32,403,180,Server header exposed: apache | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed. | Missing Referrer-Policy header. | Missing HSTS header.,/synthetic/reports/approved-sim-0101.example.md,
https://approved-sim-0102.example,https://approved-sim-0102.example,High,58,42,500,69,Wildcard CORS policy observed. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0102.example.md,
https://approved-sim-0103.example,https://approved-sim-0103.example,Medium,48,52,200,30,Server header exposed: nginx | Cookie flags need review. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0103.example.md,
https://approved-sim-0104.example,https://approved-sim-0104.example,Medium,49,51,200,260,Server header exposed: nginx | Missing Content-Security-Policy header. | Server header exposed: iis | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0104.example.md,
https://approved-sim-0105.example,https://approved-sim-0105.example,Medium,45,55,301,149,Redirect observed. | Server header exposed: nginx | Missing Content-Security-Policy header. | Technology banner exposed.,/synthetic/reports/approved-sim-0105.example.md,
https://approved-sim-0106.example,https://approved-sim-0106.example,Medium,45,55,404,301,Missing HSTS header. | Server header exposed: apache,/synthetic/reports/approved-sim-0106.example.md,
https://approved-sim-0107.example,https://approved-sim-0107.example,High,65,35,200,77,Server header exposed: nginx | Missing HSTS header. | Missing X-Content-Type-Options header. | Server header exposed: iis | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0107.example.md,
https://approved-sim-0108.example,https://approved-sim-0108.example,Medium,53,47,200,152,Server header exposed: iis | Cookie flags need review. | Missing X-Content-Type-Options header. | Redirect observed. | Neither X-Frame-Options nor CSP frame-ancestors is present.,/synthetic/reports/approved-sim-0108.example.md,
https://approved-sim-0109.example,https://approved-sim-0109.example,Medium,54,46,301,316,Wildcard CORS policy observed. | Technology banner exposed. | Missing Content-Security-Policy header. | Server header exposed: nginx,/synthetic/reports/approved-sim-0109.example.md,
https://approved-sim-0110.example,https://approved-sim-0110.example,Medium,41,59,200,185,Missing X-Content-Type-Options header. | Server header exposed: nginx | Server header exposed: apache | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0110.example.md,
https://approved-sim-0111.example,https://approved-sim-0111.example,Critical,89,11,500,42,Missing X-Content-Type-Options header. | Technology banner exposed. | Missing Content-Security-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present.,/synthetic/reports/approved-sim-0111.example.md,
https://approved-sim-0112.example,https://approved-sim-0112.example,Low,20,80,200,204,Neither X-Frame-Options nor CSP frame-ancestors is present.,/synthetic/reports/approved-sim-0112.example.md,
https://approved-sim-0113.example,https://approved-sim-0113.example,Low,20,80,200,7,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0113.example.md,
https://approved-sim-0114.example,https://approved-sim-0114.example,Low,27,73,404,70,Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0114.example.md,
https://approved-sim-0115.example,https://approved-sim-0115.example,High,65,35,403,259,Missing HSTS header. | Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed.,/synthetic/reports/approved-sim-0115.example.md,
https://approved-sim-0116.example,https://approved-sim-0116.example,Critical,86,14,302,14,Missing Referrer-Policy header. | Missing Content-Security-Policy header. | Missing HSTS header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0116.example.md,
https://approved-sim-0117.example,https://approved-sim-0117.example,Medium,54,46,200,232,Wildcard CORS policy observed. | Missing Content-Security-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0117.example.md,
https://approved-sim-0118.example,https://approved-sim-0118.example,Low,8,92,200,123,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0118.example.md,
https://approved-sim-0119.example,https://approved-sim-0119.example,Low,12,88,301,358,Redirect observed.,/synthetic/reports/approved-sim-0119.example.md,
https://approved-sim-0120.example,https://approved-sim-0120.example,Low,8,92,200,341,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0120.example.md,
https://approved-sim-0121.example,https://approved-sim-0121.example,High,59,41,200,52,Redirect observed. | Server header exposed: apache | Technology banner exposed. | Server header exposed: iis | Missing Referrer-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0121.example.md,
https://approved-sim-0122.example,https://approved-sim-0122.example,Low,18,82,302,176,Technology banner exposed.,/synthetic/reports/approved-sim-0122.example.md,
https://approved-sim-0123.example,https://approved-sim-0123.example,Low,15,85,200,303,Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0123.example.md,
https://approved-sim-0124.example,https://approved-sim-0124.example,High,57,43,404,22,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing Referrer-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0124.example.md,
https://approved-sim-0125.example,https://approved-sim-0125.example,Medium,54,46,500,76,Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed.,/synthetic/reports/approved-sim-0125.example.md,
https://approved-sim-0126.example,https://approved-sim-0126.example,Medium,50,50,200,220,Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: nginx | Server header exposed: iis | Missing Referrer-Policy header. | Redirect observed.,/synthetic/reports/approved-sim-0126.example.md,
https://approved-sim-0127.example,https://approved-sim-0127.example,Low,15,85,200,209,Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0127.example.md,
https://approved-sim-0128.example,https://approved-sim-0128.example,Medium,35,65,200,339,Server header exposed: apache | Server header exposed: iis | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0128.example.md,
https://approved-sim-0129.example,https://approved-sim-0129.example,Medium,51,49,301,178,Server header exposed: apache | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing X-Content-Type-Options header. | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0129.example.md,
https://approved-sim-0130.example,https://approved-sim-0130.example,Medium,51,49,301,341,Redirect observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: nginx | Missing Referrer-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0130.example.md,
https://approved-sim-0131.example,https://approved-sim-0131.example,High,71,29,200,118,Missing Content-Security-Policy header. | Missing Referrer-Policy header. | Technology banner exposed. | Wildcard CORS policy observed. | Server header exposed: iis | Server header exposed: apache,/synthetic/reports/approved-sim-0131.example.md,
https://approved-sim-0132.example,https://approved-sim-0132.example,Medium,42,58,403,322,Server header exposed: nginx | Server header exposed: apache | Redirect observed.,/synthetic/reports/approved-sim-0132.example.md,
